set,method,metric,pair,a,b,n,a_mean,a_std,b_mean,b_std,diff_mean,diff_ci_low,diff_ci_high,p_perm,p_wilcoxon
Left,QDA,Recall,boxcox_vs_clahe,boxcox,clahe,50,55.46605291017398,17.593677910825804,57.46767405526641,15.808943142518691,-2.0016211450924164,-3.5743444119679655,-0.5028965636031011,0.0183,0.0362699414949752
Big,LDA,IoU,boxcox_vs_histeq,boxcox,histeq,50,24.95347190913446,8.878256580496638,10.326165477033012,3.870095876792902,14.627306432101445,12.26400812779614,17.131446162817774,0.0,1.7763568394002505e-15
Big,LDA,IoU,boxcox_vs_clahe,boxcox,clahe,50,24.95347190913446,8.878256580496638,25.876515311010223,8.52458999651894,-0.9230434018757697,-3.1984222125070523,1.4041793540204757,0.4474,0.46061015880625966
Big,LDA,Dice,boxcox_vs_histeq,boxcox,histeq,50,39.16658765979742,11.154009014099966,18.49902042016835,6.430088608987167,20.667567239629076,17.599179804668786,23.745279760586545,0.0,1.7763568394002505e-15
Big,LDA,Dice,boxcox_vs_clahe,boxcox,clahe,50,39.16658765979742,11.154009014099966,40.42611291687123,10.412968007422286,-1.2595252570738171,-4.108327128792823,1.583286714322126,0.3861,0.43191110415215306
Big,LDA,Precision,boxcox_vs_histeq,boxcox,histeq,50,30.60588481202994,14.342009774887995,10.757731088704253,4.131755302634652,19.84815372332569,16.183991495558566,23.90371432496901,0.0,1.7763568394002505e-15
Big,LDA,Precision,boxcox_vs_clahe,boxcox,clahe,50,30.60588481202994,14.342009774887995,30.688688534758573,10.603286253183066,-0.08280372272863368,-3.9727132954038846,3.944789639465103,0.9678,0.5918179227766114
Big,LDA,Recall,boxcox_vs_histeq,boxcox,histeq,50,65.17730330607134,10.954508672412091,71.20374190720744,20.690005469336775,-6.026438601136098,-9.917359641533501,-1.118190145912255,0.0098,3.256713547727941e-07
Big,LDA,Recall,boxcox_vs_clahe,boxcox,clahe,50,65.17730330607134,10.954508672412091,63.09019172331416,7.950630003589514,2.0871115827571867,-0.5881276998142625,5.052772307546888,0.1563,0.6390094850461736
Big,QDA,IoU,boxcox_vs_histeq,boxcox,histeq,50,33.12004660536153,11.1641195798443,10.703475051304748,5.234178587141868,22.41657155405678,19.215102287486417,25.660178179812853,0.0,1.7763568394002505e-15
Big,QDA,IoU,boxcox_vs_clahe,boxcox,clahe,50,33.12004660536153,11.1641195798443,33.319639574034824,9.232412166729711,-0.19959296867330742,-1.9425674636892452,1.5621184452309946,0.8247,0.8707939059443142
Big,QDA,Dice,boxcox_vs_histeq,boxcox,histeq,50,48.71294504836147,12.815681542981459,18.966564767843884,8.054286643477267,29.746380280517588,25.83896574030226,33.526807555082755,0.0,1.7763568394002505e-15
Big,QDA,Dice,boxcox_vs_clahe,boxcox,clahe,50,48.71294504836147,12.815681542981459,49.28254193291996,10.39289561188156,-0.5695968845584843,-2.654411451710244,1.390243744750985,0.5981,1.0
Big,QDA,Precision,boxcox_vs_histeq,boxcox,histeq,50,48.08267469466813,19.14841159020845,12.04481030182671,10.655895479334953,36.03786439284142,30.331479812514416,41.59868659963601,0.0,3.375077994860476e-14
Big,QDA,Precision,boxcox_vs_clahe,boxcox,clahe,50,48.08267469466813,19.14841159020845,46.72821804070888,14.465172139203611,1.3544566539592462,-2.0464667865748436,4.802114806265811,0.4502,0.2653376709882824
Big,QDA,Recall,boxcox_vs_histeq,boxcox,histeq,50,58.15229323847389,13.46958406222703,70.91007911450787,21.51176669251841,-12.757785876033969,-17.007375613589318,-7.661651387546371,0.0,2.8338981969966426e-06
Big,QDA,Recall,boxcox_vs_clahe,boxcox,clahe,50,58.15229323847389,13.46958406222703,55.98344044327265,10.64995799402461,2.168852795201247,-0.7525693507023425,5.647146911030656,0.2037,0.6736344940466168
