set,method,metric,n,noBC_mean,noBC_std,BC_mean,BC_std,diff_mean,diff_ci_low,diff_ci_high,p_wilcoxon,p_perm
Left,SVM,Dice,50,53.32864810015967,13.438148940102264,52.26798931027583,12.985907382242146,-1.0606587898838473,-1.4127691147738803,-0.7428025879151807,8.511120994443666e-08,0.0
Left,SVM,Precision,50,48.384796724189634,14.830264531031295,46.4183286311486,13.922013813299362,-1.9664680930410425,-2.588529430052267,-1.4200118721478656,5.8388094563372416e-08,0.0
Left,SVM,Recall,50,61.66951655696422,13.874638761575547,62.186221649680505,14.055292595265737,0.5167050927162787,0.37100347174451326,0.6778891670053115,2.7862785379144005e-07,0.0
Left,SVM,Accuracy,50,98.478271484375,0.9674304116280983,98.38641357421875,1.0718791800325707,-0.09185791015624956,-0.13607864379882828,-0.05932617187499777,7.04832929235465e-08,0.0
Left,LightGBM,IoU,50,30.355377784689775,10.740530283514316,30.456491343312404,10.684266152760085,0.10111355862262765,-0.2065314465348995,0.4471881843521529,0.910824985273362,0.5543
Left,LightGBM,Dice,50,45.528571452533974,12.979982441647763,45.662315200918464,12.87063631923149,0.13374374838448633,-0.24020898222403353,0.5511732384783947,0.910824985273362,0.5206
Left,LightGBM,Precision,50,36.13529686318941,12.655084950963552,36.291090390598406,12.57047646351518,0.15579352740899527,-0.41182690940662436,0.7424298040932673,0.910824985273362,0.6071
Left,LightGBM,Recall,50,65.19093980476194,13.358263204385148,65.02384719391685,13.565029441405066,-0.1670926108450873,-0.39675816188171004,0.018585936611422875,0.22738526970373263,0.1286
Left,LightGBM,Accuracy,50,97.63458251953125,1.7923887614032545,97.662841796875,1.7490211573041794,0.02825927734374756,-0.009644317626956188,0.07437133789062063,0.45527280991543384,0.2189
Left,KNN,IoU,50,23.92714922620819,8.731754012697174,23.902572943354997,8.719903207888208,-0.024576282853196213,-0.054672536017628046,0.004294170668564499,0.22280350270168536,0.1107
Left,KNN,Dice,50,37.823335881808255,11.492238580693105,37.79233383124457,11.490957583346162,-0.031002050563681275,-0.06898003712098841,0.006379245330772057,0.1956207986882893,0.1195
Left,KNN,Precision,50,26.480551537896975,9.509120642540198,26.451367223254895,9.495037875402685,-0.029184314642080184,-0.0679641465059413,0.009318268566502287,0.31415351024470317,0.1486
Left,KNN,Recall,50,69.54476352162843,10.968862971137934,69.5394948004181,10.954242272163974,-0.005268721210336835,-0.033747781847469245,0.023559935034842244,0.6164914109936318,0.7342
Left,KNN,Accuracy,50,96.47549438476562,2.1855507106089545,96.46612548828125,2.206090431555503,-0.009368896484377665,-0.020324707031251842,0.0002136230468694822,0.2793181315782509,0.0791
Left,LDA,IoU,50,40.680261308990374,17.06428944480968,29.46808162643137,12.041170273564155,-11.212179682559,-14.478543608379086,-8.08882157223466,1.3874409509661353e-08,0.0
Left,LDA,Dice,50,55.656671303174974,18.45033961545647,44.21680419038847,14.398081687658912,-11.43986711278649,-14.72475486939057,-8.301103431658431,1.749137373158259e-08,0.0
Left,LDA,Precision,50,56.61793975561778,24.367895735175278,36.5432212275794,16.971172372937524,-20.07471852803838,-25.47289943519085,-14.923779395357496,5.095113411870285e-09,0.0
Left,LDA,Recall,50,59.086952768672404,11.13858677351714,64.18975702595347,14.202521707695912,5.102804257281057,3.8983401227403807,6.354434399647152,1.0346551272855748e-08,0.0
Left,LDA,Accuracy,50,98.499755859375,1.2672643993894783,97.2603759765625,2.1199520498133904,-1.2393798828124987,-1.6929580688476547,-0.8309890747070321,1.6509514861305175e-08,0.0
Left,QDA,IoU,50,41.02333064533956,16.324972943138583,38.962042079619586,13.167522765285009,-2.0612885657199786,-5.246137278463084,1.1512403500952169,0.35718707191412413,0.2202
Left,QDA,Dice,50,56.134405255037514,18.24885650131465,54.75801672535863,14.271638553029433,-1.3763885296788791,-4.853417835975198,2.3298183206594643,0.3829036913273498,0.4735
Left,QDA,Precision,50,78.76112662553258,19.858360036783964,61.31185061023978,19.759456500648792,-17.449276015292806,-22.4723363902463,-11.582888052196681,6.337863567296154e-11,0.0
Left,QDA,Recall,50,45.886964710648094,17.220498324130816,55.46605291017398,17.593677910825804,9.579088199525884,8.032776050763673,11.546102981182171,1.1812325186599063e-09,0.0
