set,image,method,condition,lam,time_s,IoU,Dice,Precision,Recall,Accuracy
Vertical,124.jpg,QDA,boxcox,3.492132637300228,0.001,0.3381424706943192,0.5053908355795148,0.946969696969697,0.3446691176470588,0.988800048828125
Vertical,124.jpg,LDA,histeq,,0.001,0.09861469828598263,0.17952553964522333,0.10157194679564692,0.7720588235294118,0.882843017578125
Vertical,124.jpg,QDA,histeq,,0.001,0.08541458541458541,0.1573861021629084,0.0874501380791654,0.7858455882352942,0.8603057861328125
Vertical,124.jpg,LDA,clahe,,0.001,0.24303593056116268,0.3910360506658006,0.3023606228026118,0.5533088235294118,0.9713897705078125
Vertical,124.jpg,QDA,clahe,,0.001,0.3682385575589459,0.5382665990876837,0.6,0.4880514705882353,0.9860992431640625
Vertical,454.jpg,LDA,raw,,0.001,0.703,0.8256018790369936,0.8944020356234097,0.7666303162486369,0.9954681396484375
Vertical,454.jpg,QDA,raw,,0.001,0.6842639593908629,0.812537673297167,0.9083557951482479,0.7350054525627044,0.9952545166015625
Vertical,454.jpg,LDA,boxcox,4.2137133636999184,0.001,0.47231833910034604,0.6415981198589894,0.5006112469437652,0.8931297709923665,0.9860382080078125
Vertical,454.jpg,QDA,boxcox,4.2137133636999184,0.001,0.6894075403949731,0.8161530286928799,0.7958549222797927,0.8375136314067612,0.994720458984375
Vertical,454.jpg,LDA,histeq,,0.001,0.12389000286450874,0.22046642028800817,0.12481962481962482,0.9432933478735005,0.9066619873046875
Vertical,454.jpg,QDA,histeq,,0.001,0.09532608695652174,0.1740597400019847,0.09574235807860262,0.9563794983642312,0.8730010986328125
Vertical,454.jpg,LDA,clahe,,0.001,0.5977742448330684,0.7482587064676617,0.6880146386093321,0.8200654307524536,0.992279052734375
Vertical,454.jpg,QDA,clahe,,0.001,0.6635773864689527,0.7977715877437326,0.8154897494305239,0.7808069792802618,0.9944610595703125
Vertical,456.jpg,LDA,raw,,0.001,0.5392670157068062,0.7006802721088435,0.7969052224371374,0.6251896813353566,0.99462890625
Vertical,456.jpg,QDA,raw,,0.001,0.4691011235955056,0.638623326959847,0.8630490956072352,0.5068285280728376,0.994232177734375
Vertical,456.jpg,LDA,boxcox,2.9136709519076556,0.001,0.44412050534499514,0.6150740242261103,0.5525997581620314,0.6934749620637329,0.99127197265625
Vertical,456.jpg,QDA,boxcox,2.9136709519076556,0.001,0.5034293552812071,0.6697080291970803,0.8398169336384439,0.5569044006069803,0.994476318359375
Vertical,456.jpg,LDA,histeq,,0.001,0.18471337579617833,0.3118279569892473,0.19696364362764682,0.7481031866464339,0.966796875
Vertical,456.jpg,QDA,histeq,,0.001,0.18471337579617833,0.3118279569892473,0.19696364362764682,0.7481031866464339,0.966796875
Vertical,456.jpg,LDA,clahe,,0.001,0.3816793893129771,0.5524861878453039,0.4639175257731959,0.6828528072837633,0.9888763427734375
Vertical,456.jpg,QDA,clahe,,0.001,0.5118733509234829,0.6771378708551483,0.7967145790554415,0.5887708649468892,0.994354248046875
Vertical,457.jpg,LDA,raw,,0.001,0.48839285714285713,0.6562687462507498,0.7725988700564972,0.570385818561001,0.9912567138671875
Vertical,457.jpg,QDA,raw,,0.001,0.4638888888888889,0.6337760910815939,0.8054662379421221,0.5224191866527633,0.9911651611328125
