set,method,metric,transform,n,raw_mean,raw_std,tf_mean,tf_std,diff_mean,diff_ci_low,diff_ci_high,p_perm,p_wilcoxon
Left,LDA,IoU,histeq,50,40.680261308990374,17.06428944480968,10.287916439219481,7.788664431507569,-30.392344869770895,-35.08841838111258,-25.50248107075302,0.0,3.6770586575585185e-13
Left,LDA,IoU,clahe,50,40.680261308990374,17.06428944480968,29.211052052222453,10.770479206959308,-11.469209256767924,-13.890220486268559,-8.979421014798772,0.0,6.337863567296154e-11
Left,LDA,Dice,boxcox,50,55.656671303174974,18.45033961545647,44.21680419038847,14.398081687658912,-11.43986711278649,-14.766811512105111,-8.251203148987656,0.0,1.749137373158259e-08
Left,LDA,Dice,histeq,50,55.656671303174974,18.45033961545647,17.816200849801,12.231621384712394,-37.840470453373975,-43.01343825037562,-32.348383584645646,0.0,2.433608869978343e-13
Left,LDA,Dice,clahe,50,55.656671303174974,18.45033961545647,44.17427551525492,12.778253197979685,-11.482395787920058,-13.916875435187126,-8.95799906485697,0.0,2.0232171493717033e-10
Left,LDA,Precision,boxcox,50,56.61793975561778,24.367895735175278,36.5432212275794,16.971172372937524,-20.07471852803838,-25.379567425685913,-14.876381899990962,0.0,5.095113411870285e-09
Left,LDA,Precision,histeq,50,56.61793975561778,24.367895735175278,13.448739820899034,16.516415694319587,-43.16919993471875,-50.97708723452047,-34.97075940528841,0.0,2.022026990289305e-11
Left,LDA,Precision,clahe,50,56.61793975561778,24.367895735175278,33.6134849612908,12.616700931402185,-23.00445479432698,-27.33870872480492,-18.652217377625917,0.0,2.6343371928305714e-12
Left,LDA,Recall,boxcox,50,59.086952768672404,11.13858677351714,64.18975702595347,14.202521707695912,5.102804257281057,3.8939749517110616,6.362106713373715,0.0,1.0346551272855748e-08
Left,LDA,Recall,histeq,50,59.086952768672404,11.13858677351714,57.096336224222846,34.24933905630104,-1.9906165444495714,-9.701534832465939,5.140425761820107,0.6077,0.5946011517764428
Left,LDA,Recall,clahe,50,59.086952768672404,11.13858677351714,68.2787228592416,10.570203356575922,9.191770090569182,8.23362231247499,10.193162247659568,0.0,1.7763568394002505e-15
Left,QDA,IoU,boxcox,50,41.02333064533956,16.324972943138583,38.962042079619586,13.167522765285009,-2.0612885657199786,-5.226041190995115,1.1161574288684417,0.2236,0.35718707191412413
Left,QDA,IoU,histeq,50,41.02333064533956,16.324972943138583,8.20344305247659,6.793031435993976,-32.81988759286298,-36.69589332923347,-28.75888109542755,0.0,1.1100954635085597e-09
Left,QDA,IoU,clahe,50,41.02333064533956,16.324972943138583,38.627652209886065,11.517589904296967,-2.3956784354534983,-5.120433366599272,0.34449017017684735,0.087,0.0894381024777875
Left,QDA,Dice,boxcox,50,56.134405255037514,18.24885650131465,54.75801672535863,14.271638553029433,-1.3763885296788791,-4.746237827096117,2.374013874134772,0.4743,0.3829036913273498
Left,QDA,Dice,histeq,50,56.134405255037514,18.24885650131465,14.487206430018135,11.058498392622274,-41.64719882501937,-45.883690672061945,-37.22027039050918,0.0,1.1100954635085597e-09
Left,QDA,Dice,clahe,50,56.134405255037514,18.24885650131465,54.70927153028925,12.606687899866733,-1.425133724748257,-4.246799583599109,1.6740122665081583,0.3678,0.14874176207376877
Left,QDA,Precision,boxcox,50,78.76112662553258,19.858360036783964,61.31185061023978,19.759456500648792,-17.449276015292806,-22.550688622283804,-11.799855058581311,0.0,6.337863567296154e-11
Left,QDA,Precision,histeq,50,78.76112662553258,19.858360036783964,10.035305095953175,13.64623063936461,-68.7258215295794,-74.91969033540168,-61.31045721649845,0.0,1.4223576309764778e-09
Left,QDA,Precision,clahe,50,78.76112662553258,19.858360036783964,55.78380919841426,14.797343277545963,-22.97731742711833,-27.532095924542986,-17.06899552708279,0.0,6.337863567296154e-11
Left,QDA,Recall,boxcox,50,45.886964710648094,17.220498324130816,55.46605291017398,17.593677910825804,9.579088199525884,7.990042769015759,11.554783741291338,0.0,1.1812325186599063e-09
Left,QDA,Recall,histeq,50,45.886964710648094,17.220498324130816,55.46479561645833,37.077626517060814,9.577830905810222,2.957007166705728,15.930613116157991,0.0075,0.03286778042771988
Left,QDA,Recall,clahe,50,45.886964710648094,17.220498324130816,57.46767405526641,15.808943142518691,11.5807093446183,10.23198802902144,13.042033001194438,0.0,1.7763568394002505e-15
