set,method,metric,n,noBC_mean,noBC_std,BC_mean,BC_std,diff,ci_low,ci_high,p_perm,p_wilcoxon
Big,KNN,Recall,10,71.68634077998784,12.85302282816738,70.34529067666627,18.91505707922804,-1.3410501033215945,-17.30273114671009,14.1113220539207,0.8823,0.921875
Big,KNN,Accuracy,10,75.60745239257812,15.94641398170435,75.83236694335938,14.056586256322994,0.22491455078125,-16.10049057006836,17.071937561035153,0.9886,0.76953125
Big,LDA,IoU,10,20.601263327096124,17.073608907716363,11.73404188237479,10.562474655258727,-8.86722144472133,-23.27470258848766,5.241022675739014,0.2812,0.322265625
Big,LDA,Dice,10,31.369963116064557,22.073714565600888,19.702845827734585,15.315457139386845,-11.667117288329978,-31.302315188796392,7.699923613225655,0.2855,0.322265625
Big,LDA,Precision,10,27.112187674183414,24.425292740496555,17.308527515076943,21.578634979325738,-9.80366015910647,-32.57047330297066,14.476037661924154,0.4504,0.556640625
Big,LDA,Recall,10,68.0898841803435,15.208733117604146,73.33235271152813,19.896690546245598,5.242468531184634,-11.492970291816833,22.197610431172834,0.5856,0.5939546753269146
Big,LDA,Accuracy,10,88.1549072265625,11.277349674612504,77.17208862304688,15.350674646037133,-10.982818603515625,-24.31155014038086,2.793930053710932,0.1613,0.232421875
Big,QDA,IoU,10,25.422932461514563,17.45113336400458,12.237329678917359,10.167041099743225,-13.1856027825972,-27.828126601086417,1.4712489229556582,0.1354,0.193359375
Big,QDA,Dice,10,37.834788424718,21.711291326900326,20.606713139182283,14.742692833913265,-17.22807528553572,-36.329233154218684,2.3044385917167878,0.1335,0.193359375
Big,QDA,Precision,10,36.5748218878554,28.480630758901164,18.65859221389993,22.602280787213623,-17.91622967395547,-43.25407738681205,8.773924089593926,0.2308,0.232421875
Big,QDA,Recall,10,63.58723849864807,14.3179709028047,71.08696313586232,20.06482496451998,7.499724637214242,-8.565859147120527,23.566260540112232,0.4135,0.4921875
Big,QDA,Accuracy,10,92.31002807617188,8.188211450586229,79.79995727539062,13.985939310036363,-12.51007080078125,-23.361366271972656,-1.9309692382812524,0.0757,0.10546875
