set,image,method,condition,lam,fold,IoU,Dice,Precision,Recall,Accuracy
Horizontal,031.jpg,SVM,noBC,,0,0.17331288343558282,0.2954248366013072,0.23640167364016737,0.39372822299651566,0.9917755126953125
Horizontal,023.jpg,LightGBM,noBC,,0,0.05532831001076426,0.10485516115871073,0.056093124772644595,0.8022892819979188,0.79913330078125
Horizontal,024.jpg,LightGBM,noBC,,0,0.05473748349751193,0.10379356826497207,0.05639255074283323,0.6509661835748792,0.85797119140625
Horizontal,028.jpg,LightGBM,noBC,,0,0.013870628451222718,0.027361732477468717,0.013987404706662248,0.6242603550295858,0.7711029052734375
Horizontal,030.jpg,LightGBM,noBC,,0,0.03292540792540793,0.06375176304654442,0.03440925700365408,0.4329501915708812,0.9493560791015625
Horizontal,031.jpg,LightGBM,noBC,,0,0.033577037638776064,0.06497249148545979,0.03512747875354107,0.43205574912891986,0.9455413818359375
Horizontal,023.jpg,KNN,noBC,,0,0.05809409289042537,0.10980893529369984,0.058926665650251564,0.8043704474505723,0.8087615966796875
Horizontal,024.jpg,KNN,noBC,,0,0.05338299193047796,0.10135533294048321,0.055163566388710714,0.6231884057971014,0.860382080078125
Horizontal,028.jpg,KNN,noBC,,0,0.014378910930635069,0.02835017718860743,0.014496644295302013,0.6390532544378699,0.774078369140625
Horizontal,030.jpg,KNN,noBC,,0,0.031509596104268116,0.06109414051652319,0.03293413173652695,0.421455938697318,0.9484100341796875
Horizontal,031.jpg,KNN,noBC,,0,0.026419804451841066,0.05147952979327118,0.02732945986658059,0.4425087108013937,0.9285888671875
Horizontal,023.jpg,LDA,noBC,,0,0.07958948581003246,0.14744398098748665,0.08130081300813008,0.7908428720083247,0.8658905029296875
Horizontal,024.jpg,LDA,noBC,,0,0.0889267461669506,0.16332916145181478,0.09381739755571532,0.6304347826086957,0.91839599609375
Horizontal,028.jpg,LDA,noBC,,0,0.019124967251768404,0.037532133676092545,0.019325803035651252,0.6479289940828402,0.82861328125
Horizontal,030.jpg,LDA,noBC,,0,0.06398996235884567,0.12028301886792453,0.0710801393728223,0.39080459770114945,0.97723388671875
Horizontal,031.jpg,LDA,noBC,,0,0.14681107099879662,0.25603357817418676,0.1831831831831832,0.4250871080139373,0.9891815185546875
Horizontal,023.jpg,QDA,noBC,,0,0.1711281070745698,0.2922448979591837,0.18177202335618178,0.745057232049948,0.94708251953125
Horizontal,024.jpg,QDA,noBC,,0,0.1954582319545823,0.32700135685210313,0.22735849056603774,0.5821256038647343,0.9697265625
Horizontal,028.jpg,QDA,noBC,,0,0.040648737425579964,0.07812191753797593,0.04185161699429296,0.5857988165680473,0.9286956787109375
Horizontal,030.jpg,QDA,noBC,,0,0.1051980198019802,0.19036954087346025,0.13449367088607594,0.32567049808429116,0.9889678955078125
Horizontal,031.jpg,QDA,noBC,,0,0.1968503937007874,0.32894736842105265,0.3115264797507788,0.34843205574912894,0.9937744140625
Horizontal,023.jpg,SVM,BC,1.9234880090090036,0,0.021513708151963355,0.042121232403007386,0.02152204641831198,0.9823100936524454,0.3448638916015625
Horizontal,024.jpg,SVM,BC,2.2910108026470906,0,0.014596212778771721,0.028772456657995354,0.014597247072578787,0.9951690821256038,0.1511688232421875
Horizontal,028.jpg,SVM,BC,0.3719778795901283,0,0.04843304843304843,0.09239130434782608,0.5666666666666667,0.05029585798816568,0.994903564453125
Horizontal,030.jpg,SVM,BC,2.4200951184383714,0,0.004228980669831651,0.008422343412178516,0.004228980669831651,1.0,0.062255859375
