set,image,method,condition,lam,IoU,Dice,Precision,Recall,Accuracy
Left,061.jpg,LightGBM,noBC,,0.4544138929088278,0.6248756218905472,0.542314335060449,0.7370892018779343,0.9827423095703125
Left,061.jpg,KNN,noBC,,0.3642803877703207,0.5340256900792566,0.4103317933641327,0.7644757433489828,0.9739837646484375
Left,061.jpg,LDA,noBC,,0.6015569709837226,0.7512152010605391,0.8629441624365483,0.6651017214397497,0.9914093017578125
Left,061.jpg,QDA,noBC,,0.5820341499628805,0.7358047864852182,0.9191090269636577,0.6134585289514867,0.9914093017578125
Left,061.jpg,SVM,BC,1.9093678605180364,0.5287026406429391,0.6917010889973714,0.6649819494584838,0.7206572769953051,0.9874725341796875
Left,061.jpg,LightGBM,BC,1.9093678605180364,0.4544138929088278,0.6248756218905472,0.542314335060449,0.7370892018779343,0.9827423095703125
Left,061.jpg,KNN,BC,1.9093678605180364,0.3640089418777943,0.5337339524720022,0.40998741082668905,0.7644757433489828,0.9739532470703125
Left,061.jpg,LDA,BC,1.9093678605180364,0.4879958246346555,0.6559102069449316,0.5944055944055944,0.7316118935837246,0.9850311279296875
Left,061.jpg,QDA,BC,1.9093678605180364,0.5975609756097561,0.7480916030534351,0.8166666666666667,0.6901408450704225,0.990936279296875
Left,063.jpg,SVM,noBC,,0.5210329029571013,0.6851040525739321,0.5909305621162022,0.8149837133550488,0.982452392578125
Left,063.jpg,LightGBM,noBC,,0.38810875410815654,0.5591907016788635,0.4175506268081003,0.8462540716612378,0.96875
Left,063.jpg,KNN,noBC,,0.3868312757201646,0.5578635014836796,0.4134464341815897,0.857328990228013,0.968170166015625
Left,063.jpg,LDA,noBC,,0.6529653552554316,0.7900532859680284,0.86875,0.7244299674267101,0.9909820556640625
Left,063.jpg,QDA,noBC,,0.6558167570825799,0.7921368765926465,0.8976897689768977,0.7087947882736156,0.9912872314453125
Left,063.jpg,SVM,BC,2.265213313889104,0.5103364410214836,0.6757917337627483,0.5746234596074852,0.8201954397394137,0.9815673828125
Left,063.jpg,LightGBM,BC,2.265213313889104,0.38810875410815654,0.5591907016788635,0.4175506268081003,0.8462540716612378,0.96875
Left,063.jpg,KNN,BC,2.265213313889104,0.38374125874125875,0.5546430827542641,0.409769757311761,0.8579804560260587,0.9677276611328125
